date,open,high,low,close,volume
2006-10-09,2.2231,2.2617,2.215,2.2481,438222400
2006-10-10,2.2454,2.2466,2.2015,2.2234,531588400
2006-10-11,2.2117,2.2286,2.187,2.206,571855200
2006-10-12,2.2174,2.271,2.2171,2.2671,592855200
2006-10-13,2.2783,2.3159,2.2515,2.2599,684196800
2006-10-16,2.265,2.2858,2.2529,2.2713,508692800
2006-10-17,2.2605,2.2674,2.2304,2.2379,480925200
2006-10-18,2.2518,2.3674,2.2265,2.2451,1133907600
2006-10-19,2.3876,2.4084,2.3545,2.3795,1512977200
2006-10-20,2.3789,2.4096,2.3698,2.4084,639413600
2006-10-23,2.4096,2.4671,2.4024,2.4539,832507200
2006-10-24,2.4464,2.4605,2.4159,2.4415,463212400
2006-10-25,2.4506,2.4702,2.4403,2.4605,485214800
2006-10-26,2.4671,2.4882,2.444,2.4759,432756800
2006-10-27,2.4626,2.4837,2.4102,2.4223,594966400
2006-10-30,2.4095,2.437,2.3949,2.4226,499917600
2006-10-31,2.4536,2.4605,2.4168,2.4424,501474400
2006-11-01,2.443,2.4515,2.3605,2.3846,611192400
2006-11-02,2.3772,2.3894,2.3647,2.3792,465483200
2006-11-03,2.3906,2.3958,2.3433,2.3584,431888800
2006-11-06,2.3783,2.4117,2.3626,2.4012,434576800
2006-11-07,2.4235,2.44,2.4138,2.4253,525932400
2006-11-08,2.4105,2.4909,2.4066,2.4837,690916800
2006-11-09,2.4973,2.5512,2.4738,2.5105,923053600
2006-11-10,2.5169,2.5184,2.4852,2.5039,373864400
2006-11-13,2.5069,2.544,2.4894,2.541,450674000
2006-11-14,2.5545,2.5605,2.5274,2.5605,588954800
2006-11-15,2.562,2.5876,2.5304,2.5319,655323200
2006-11-16,2.5566,2.5997,2.5491,2.5789,693940800
2006-11-17,2.5649,2.5888,2.5605,2.5861,466424000
2006-11-20,2.5726,2.6208,2.5666,2.6048,570794000
2006-11-21,2.6334,2.669,2.6241,2.669,622666800
2006-11-22,2.6807,2.7337,2.6464,2.7205,671941200
2006-11-24,2.697,2.8039,2.6961,2.7603,518677600
2006-11-27,2.7868,2.8063,2.6961,2.6973,1074836000
2006-11-28,2.722,2.7705,2.7084,2.7657,1036173600
2006-11-29,2.8015,2.806,2.7187,2.7654,1157083200
2006-11-30,2.7779,2.7919,2.7431,2.7612,870486400
2006-12-01,2.7654,2.7813,2.7142,2.7509,795079600
2006-12-04,2.7678,2.7729,2.7262,2.7449,709536800
2006-12-05,2.761,2.7813,2.7374,2.7494,662838400
2006-12-06,2.7306,2.753,2.7012,2.706,638184400
2006-12-07,2.7119,2.7262,2.6178,2.622,1004827600
2006-12-08,2.6277,2.6928,2.6208,2.6587,784277200
2006-12-11,2.678,2.6901,2.6524,2.6735,499780400
2006-12-12,2.6693,2.6762,2.5765,2.5949,1026620000
2006-12-13,2.6494,2.6831,2.6253,2.6825,857052000
2006-12-14,2.6825,2.7112,2.6587,2.6675,832330800
2006-12-15,2.6816,2.6877,2.6307,2.6425,739939200
2006-12-18,2.6396,2.6509,2.5482,2.5747,721576800
2006-12-19,2.5524,2.6111,2.519,2.6,911405600
2006-12-20,2.6048,2.6108,2.5527,2.5533,567691600
2006-12-21,2.5514,2.575,2.4762,2.4973,903599200
2006-12-22,2.5141,2.5316,2.4581,2.4762,613303600
2006-12-26,2.4747,2.4873,2.4367,2.4554,490688800
2006-12-27,2.3542,2.4702,2.3126,2.4557,1935754800
2006-12-28,2.4165,2.4476,2.3994,2.4361,1119876800
2006-12-29,2.5289,2.5726,2.5111,2.5557,1076429200
2007-01-03,2.5994,2.6081,2.4671,2.5244,1238319600
2007-01-04,2.5319,2.5892,2.525,2.5804,847260400
2007-01-05,2.5837,2.5967,2.5425,2.562,834741600
2007-01-08,2.5895,2.6066,2.569,2.5747,797106800
2007-01-09,2.6042,2.8009,2.5651,2.7886,2147483647
2007-01-10,2.8542,2.9461,2.8151,2.922,2147483647
2007-01-11,2.8901,2.9154,2.8648,2.8859,1440252800
2007-01-12,2.8494,2.8636,2.8085,2.8503,1312690400
2007-01-16,2.8823,2.9296,2.8753,2.925,1244076400
2007-01-17,2.9389,2.9401,2.8563,2.8603,1646260000
2007-01-18,2.7744,2.7747,2.6825,2.6831,2147483647
2007-01-19,2.6699,2.7006,2.6545,2.666,1364473600
2007-01-22,2.6852,2.6858,2.5801,2.6145,1454026000
2007-01-23,2.5825,2.6361,2.5759,2.5816,1207424400
2007-01-24,2.6111,2.6253,2.5931,2.6117,927813600
2007-01-25,2.6241,2.666,2.5916,2.5982,905973600
2007-01-26,2.6242,2.6319,2.5602,2.572,986874000
2007-01-29,2.5997,2.6102,2.5765,2.5888,901664400
2007-01-30,2.6036,2.6054,2.5681,2.5771,577970400
2007-01-31,2.5563,2.5907,2.541,2.5825,856069200
2007-02-01,2.5976,2.5988,2.5527,2.5527,664342000
2007-02-02,2.534,2.5681,2.5214,2.553,621530000
2007-02-05,2.5394,2.5675,2.5286,2.5286,578852400
2007-02-06,2.544,2.5446,2.4961,2.5349,864393600
2007-02-07,2.5449,2.6021,2.5169,2.5952,1066825200
2007-02-08,2.5735,2.606,2.5729,2.5961,679030800
2007-02-09,2.587,2.5967,2.5066,2.5084,860540800
2007-02-12,2.5434,2.566,2.5193,2.5569,724071600
2007-02-13,2.5654,2.5693,2.5394,2.5515,580986000
2007-02-14,2.5494,2.5798,2.5476,2.5696,507981600
2007-02-15,2.5738,2.5792,2.5539,2.5669,363661200
2007-02-16,2.5681,2.5729,2.5503,2.5554,399868000
2007-02-20,2.55,2.5955,2.5352,2.5876,617702400
2007-02-21,2.5901,2.6958,2.5895,2.6871,1155313600
2007-02-22,2.7353,2.7356,2.6669,2.6964,838224800
2007-02-23,2.6858,2.7214,2.6765,2.6831,517893600
2007-02-26,2.7063,2.7112,2.6392,2.6705,615848800
2007-02-27,2.5997,2.6232,2.5126,2.5283,1145813200
2007-02-28,2.5003,2.5786,2.5003,2.5488,919475200
2007-03-01,2.5313,2.6602,2.5229,2.6226,1415528800
2007-03-02,2.6139,2.637,2.5669,2.5729,860000400
2007-03-05,2.5873,2.6705,2.5834,2.6003,838899600
2007-03-06,2.6449,2.6602,2.6328,2.6566,723186800
2007-03-07,2.6524,2.6801,2.6343,2.6425,626284400
2007-03-08,2.6687,2.6726,2.6346,2.6509,511011200
2007-03-09,2.675,2.6765,2.6328,2.65,451836000
2007-03-12,2.653,2.7109,2.6506,2.7072,729408400
2007-03-13,2.6934,2.7292,2.663,2.663,867890800
2007-03-14,2.669,2.7112,2.6485,2.7112,796586000
2007-03-15,2.7099,2.722,2.6904,2.6982,559498800
2007-03-16,2.6972,2.7109,2.6907,2.6988,571704000
2007-03-19,2.7184,2.7578,2.6988,2.7452,712961200
2007-03-20,2.7518,2.7666,2.7431,2.7557,488916400
2007-03-21,2.7711,2.8316,2.7609,2.8277,686896000
2007-03-22,2.8235,2.8425,2.8015,2.8304,561492400
2007-03-23,2.8121,2.8338,2.8106,2.8172,450884000
2007-03-26,2.8313,2.8889,2.8106,2.8874,864987200
2007-03-27,2.8832,2.9169,2.8618,2.8756,932052800
2007-03-28,2.8582,2.8738,2.806,2.8088,942337200
2007-03-29,2.8374,2.8374,2.7783,2.8241,725723600
2007-03-30,2.8401,2.8521,2.794,2.7988,600558000
2007-04-02,2.8359,2.8392,2.8021,2.8211,501992400
2007-04-03,2.8359,2.8687,2.8244,2.8467,583934400
2007-04-04,2.86,2.866,2.8356,2.8398,476784000
2007-04-05,2.8353,2.8521,2.8172,2.8521,355516000
2007-04-09,2.8681,2.8708,2.8027,2.8211,413341600
2007-04-10,2.8217,2.8394,2.8139,2.8392,352466800
2007-04-11,2.8286,2.8301,2.7813,2.7892,549018400
2007-04-12,2.7726,2.7807,2.7328,2.7771,656675600
2007-04-13,2.7383,2.7533,2.713,2.7184,719941600
2007-04-16,2.7283,2.7563,2.7187,2.7542,609033600
2007-04-17,2.7714,2.7804,2.7021,2.7217,751920400
2007-04-18,2.716,2.7368,2.6991,2.7232,464044000
2007-04-19,2.7169,2.7488,2.706,2.7193,425913600
2007-04-20,2.7379,2.7467,2.7277,2.7404,522779600
2007-04-23,2.7589,2.8256,2.7539,2.8169,780290000
2007-04-24,2.8304,2.9036,2.7503,2.8088,1055252800
2007-04-25,2.8386,2.8738,2.8256,2.8723,1187144000
2007-04-26,3.06,3.0877,2.9612,2.9774,1737778000
2007-04-27,2.9576,3.0109,2.9428,3.01,699403600
2007-04-30,3.0151,3.0425,3.0025,3.0064,616509600
2007-05-01,3.0,3.0229,2.9687,2.9964,532523600
2007-05-02,3.0018,3.0287,2.9964,3.0241,505145200
2007-05-03,3.0344,3.0561,3.0127,3.0244,576077600
2007-05-04,3.0365,3.0606,3.0275,3.0368,381987200
2007-05-07,3.0449,3.1434,3.0428,3.1305,861557200
2007-05-08,3.1169,3.1675,3.1154,3.1648,783997200
2007-05-09,3.1603,3.2221,3.1597,3.2196,717757600
2007-05-10,3.2121,3.2787,3.1907,3.2335,1197257600
2007-05-11,3.2456,3.2874,3.2166,3.2757,653696400
2007-05-14,3.3022,3.3136,3.2609,3.2944,651946400
2007-05-15,3.3007,3.3197,3.2076,3.2389,954514400
2007-05-16,3.2693,3.2784,3.1154,3.2335,1126767600
2007-05-17,3.2278,3.3097,3.2278,3.2968,735291200
2007-05-18,3.3206,3.3329,3.3067,3.3142,621345200
2007-05-21,3.323,3.3874,3.3151,3.3733,639892400
2007-05-22,3.3886,3.4266,3.3742,3.4203,572409600
2007-05-23,3.4347,3.4643,3.3917,3.4007,911374800
2007-05-24,3.3983,3.448,3.3248,3.3344,887362000
2007-05-25,3.3739,3.4275,3.3588,3.4227,632959600
2007-05-29,3.4477,3.46,3.3947,3.4447,645694000
2007-05-30,3.4432,3.5811,3.42,3.5778,1478444800
2007-05-31,3.617,3.6802,3.601,3.6507,1297066400
2007-06-01,3.648,3.6507,3.5634,3.5667,885262000
2007-06-04,3.5736,3.667,3.5516,3.6549,886673200
2007-06-05,3.6573,3.6959,3.6299,3.6953,920785600
2007-06-06,3.6842,3.7369,3.6736,3.7245,1112241200
2007-06-07,3.7652,3.8441,3.711,3.7374,1915079600
2007-06-08,3.7903,3.7905,3.6839,3.7501,1241682400
2007-06-11,3.7956,3.8001,3.601,3.6206,1874258400
2007-06-12,3.5953,3.6664,3.564,3.6263,1426566400
2007-06-13,3.6495,3.6507,3.4763,3.5396,1721353200
2007-06-14,3.5305,3.5983,3.507,3.5772,973266000
2007-06-15,3.6335,3.6351,3.6107,3.6299,811218800
2007-06-18,3.7137,3.7709,3.6914,3.7682,910604800
2007-06-19,3.7562,3.7658,3.7025,3.7251,943026000
2007-06-20,3.7314,3.7552,3.6601,3.6616,897512000
2007-06-21,3.6661,3.7441,3.6366,3.7324,867045200
2007-06-22,3.7308,3.7489,3.6866,3.7052,631876000
2007-06-25,3.7411,3.7682,3.6468,3.6854,965403600
2007-06-26,3.7348,3.7354,3.5763,3.6043,1345005200
2007-06-27,3.6332,3.6763,3.5926,3.6718,974696800
2007-06-28,3.686,3.6899,3.6149,3.6317,838143600
2007-06-29,3.6742,3.7354,3.6477,3.6763,1137841600
2007-07-02,3.6465,3.6778,3.5938,3.6528,994862400
2007-07-03,3.6751,3.8378,3.6601,3.8309,1162481600
2007-07-05,3.88,4.0056,3.8766,3.9989,1453051600
2007-07-06,4.0104,4.0167,3.9282,3.9854,874694800
2007-07-09,3.9878,4.0035,3.8914,3.9261,995820000
2007-07-10,3.8824,4.0517,3.8803,3.9869,1255007600
2007-07-11,3.9785,4.0276,3.9556,3.9881,821772000
2007-07-12,4.0321,4.0438,3.9881,4.0387,704608800
2007-07-13,4.0676,4.1526,4.0523,4.149,907606000
2007-07-16,4.1688,4.2167,4.142,4.1601,936112800
2007-07-17,4.1661,4.2053,4.142,4.1845,709959600
2007-07-18,4.1628,4.1704,4.0981,4.1607,756856800
2007-07-19,4.2264,4.2417,4.2068,4.2173,732891600
2007-07-20,4.2671,4.3433,4.2173,4.3303,1167773600
2007-07-23,4.3171,4.3746,4.2454,4.3288,1036490000
2007-07-24,4.1836,4.2475,4.0411,4.0634,1795292800
2007-07-25,4.1375,4.1679,4.0667,4.1348,1496182800
2007-07-26,4.3942,4.4734,4.1258,4.3981,2147483647
2007-07-27,4.4038,4.4861,4.3312,4.3333,1161098400
2007-07-30,4.3478,4.3815,4.2044,4.2604,1106988400
2007-07-31,4.3068,4.3222,3.9619,3.9691,1762392800
2007-08-01,4.0258,4.0782,3.8489,4.0667,1750156800
2007-08-02,4.1164,4.1258,4.0411,4.1116,852644800
2007-08-03,4.0746,4.0953,3.9613,3.9718,679187600
2007-08-06,4.0035,4.0749,3.8649,4.0743,925170400
2007-08-07,4.0649,4.1342,3.9953,4.0676,949936400
2007-08-08,4.1197,4.1228,3.9764,4.0369,808096800
2007-08-09,3.9495,4.0065,3.7682,3.8074,1125395600
2007-08-10,3.7089,3.8483,3.6239,3.7655,1410749200
2007-08-13,3.8658,3.8965,3.8107,3.8495,752911600
2007-08-14,3.8646,3.8649,3.7266,3.7363,739006800
2007-08-15,3.6974,3.7613,3.6043,3.6119,992852000
2007-08-16,3.5248,3.5697,3.3624,3.526,1866690000
2007-08-17,3.6754,3.7203,3.6094,3.6769,1195062400
2007-08-20,3.7342,3.7504,3.6299,3.6817,803317200
2007-08-21,3.6814,3.8848,3.645,3.8429,1303047200
2007-08-22,3.9529,3.9989,3.926,3.9917,1061765600
2007-08-23,4.0092,4.0167,3.9089,3.9483,866838000
2007-08-24,3.9321,4.0779,3.9104,4.0758,911834000
2007-08-27,4.0183,4.0565,3.9794,3.9839,707439600
2007-08-28,3.9459,3.9887,3.8146,3.8203,1179365600
2007-08-29,3.9125,4.042,3.9023,4.039,1166860800
2007-08-30,3.9965,4.1646,3.9854,4.1044,1435582400
2007-08-31,4.202,4.2068,4.1393,4.1716,876887200
2007-09-04,4.2155,4.39,4.2125,4.3427,1316842800
2007-09-05,4.3671,4.3933,4.0999,4.1197,2147483647
2007-09-06,4.0839,4.1441,3.9977,4.067,1901261600
2007-09-07,3.9767,3.9854,3.9161,3.9694,1430576000
2007-09-10,4.127,4.1583,4.0351,4.1182,1487838800
2007-09-11,4.1541,4.1661,4.0291,4.0815,971885600
2007-09-12,4.0966,4.1993,4.0893,4.1225,1022770000
