date,open,high,low,close,volume
2006-10-09,24.3,24.62,22.95,23.0,34081800
2006-10-10,23.21,23.73,22.87,23.14,27698100
2006-10-11,23.08,24.56,22.87,24.27,29329600
2006-10-12,24.33,24.72,24.04,24.69,19510400
2006-10-13,24.57,25.4,24.57,25.23,19364900
2006-10-16,25.44,25.69,25.14,25.38,17730800
2006-10-17,24.82,24.9,24.07,24.48,22547600
2006-10-18,24.8,25.16,24.08,24.23,40929500
2006-10-19,22.0,22.0,20.91,21.01,96497700
2006-10-20,21.18,21.18,20.0,20.12,51593200
2006-10-23,20.22,20.87,20.15,20.24,34231700
2006-10-24,20.48,20.64,20.28,20.32,37597100
2006-10-25,20.42,20.93,20.35,20.83,30140000
2006-10-26,21.28,21.68,21.0,21.5,33031400
2006-10-27,21.42,21.79,20.74,20.86,28098900
2006-10-30,20.96,21.5,20.82,21.32,19939700
2006-10-31,21.42,21.57,20.95,21.27,17571200
2006-11-01,21.3,21.34,20.67,20.73,23508500
2006-11-02,20.62,21.06,20.56,20.85,16829700
2006-11-03,20.95,21.09,20.81,20.88,17719200
2006-11-06,21.07,21.48,21.06,21.39,17919800
2006-11-07,21.5,21.98,21.4,21.56,18720300
2006-11-08,21.38,21.5,20.84,21.25,20653000
2006-11-09,21.58,21.6,20.8,20.89,21301800
2006-11-10,20.83,21.16,20.82,21.07,12329600
2006-11-13,21.06,21.37,21.01,21.2,17101500
2006-11-14,21.05,21.41,20.79,21.34,23649100
2006-11-15,21.47,21.92,21.35,21.71,25125400
2006-11-16,21.9,21.95,21.38,21.74,17887400
2006-11-17,21.51,21.7,21.31,21.45,14740800
2006-11-20,21.41,21.56,21.21,21.44,16080000
2006-11-21,21.47,21.65,21.05,21.24,19988900
2006-11-22,21.55,21.85,21.3,21.77,15604100
2006-11-24,21.58,21.97,21.54,21.8,5400800
2006-11-27,21.72,22.33,21.62,21.83,24453600
2006-11-28,21.85,22.09,21.61,21.93,15159400
2006-11-29,22.15,22.19,21.33,21.41,21208700
2006-11-30,21.53,21.94,21.12,21.57,23809500
2006-12-01,21.3,21.53,20.41,20.69,32273900
2006-12-04,20.85,21.33,20.65,21.04,17967300
2006-12-05,21.04,21.49,21.04,21.34,16962900
2006-12-06,21.11,21.59,21.07,21.49,17056000
2006-12-07,21.53,21.73,21.03,21.05,17665500
2006-12-08,21.01,21.15,20.69,20.93,19635000
2006-12-11,21.02,21.09,20.61,20.69,15527600
2006-12-12,20.62,20.79,20.37,20.47,16091800
2006-12-13,20.58,20.74,19.9,20.17,28031200
2006-12-14,20.22,22.8,20.22,22.71,76120200
2006-12-15,22.95,23.0,22.02,22.12,34431000
2006-12-18,22.05,22.21,21.72,21.97,24239800
2006-12-19,21.7,22.01,21.6,21.64,19482700
2006-12-20,21.61,21.99,21.61,21.85,11292300
2006-12-21,21.97,22.0,20.91,20.95,22505600
2006-12-22,21.0,21.2,20.68,20.77,10634200
2006-12-26,20.89,20.89,20.45,20.6,7190700
2006-12-27,20.71,20.84,20.5,20.7,9919300
2006-12-28,20.56,20.75,20.52,20.57,8023900
2006-12-29,20.5,20.73,20.3,20.35,11594000
2007-01-03,20.0,20.4,19.35,19.52,28350300
2007-01-04,19.6,19.86,19.32,19.79,23652500
2007-01-05,19.54,19.91,19.54,19.71,15902400
2007-01-08,19.86,19.86,19.25,19.47,15814800
2007-01-09,19.6,19.71,19.37,19.65,14494200
2007-01-10,19.62,20.02,19.5,20.01,19783200
2007-01-11,19.8,20.63,19.8,20.18,23135700
2007-01-12,18.65,18.77,17.62,18.26,123328200
2007-01-16,18.15,18.35,17.95,18.13,37697200
2007-01-17,17.94,18.28,17.9,18.2,21415000
2007-01-18,18.07,18.18,17.76,17.92,21712500
2007-01-19,17.79,17.98,17.66,17.73,22764400
2007-01-22,17.59,17.64,17.26,17.53,24494900
2007-01-23,17.6,17.7,17.37,17.51,25341200
2007-01-24,16.04,16.45,15.93,16.03,74633800
2007-01-25,16.25,16.41,16.0,16.05,30902100
2007-01-26,16.15,16.27,16.01,16.22,28649600
2007-01-29,16.15,16.23,15.85,15.95,30040100
2007-01-30,16.0,16.0,15.65,15.79,20399500
2007-01-31,15.8,15.89,15.52,15.55,30280100
2007-02-01,15.62,15.85,15.57,15.77,23450600
2007-02-02,15.9,15.91,15.66,15.69,20216200
2007-02-05,15.74,15.8,15.52,15.6,18451700
2007-02-06,15.62,15.67,15.13,15.32,31872900
2007-02-07,15.39,15.55,15.36,15.5,17258300
2007-02-08,15.4,15.46,15.11,15.13,24673000
2007-02-09,15.06,15.26,14.8,14.9,30651800
2007-02-12,14.96,15.01,14.66,14.69,20472600
2007-02-13,14.75,14.86,14.47,14.6,17824500
2007-02-14,14.65,15.13,14.61,14.95,31912700
2007-02-15,15.01,15.02,14.75,14.83,15886100
2007-02-16,14.8,15.0,14.7,14.94,15951200
2007-02-20,14.93,15.01,14.7,14.92,21961300
2007-02-21,14.76,14.85,14.52,14.56,23986900
2007-02-22,14.48,14.7,14.43,14.55,26771700
2007-02-23,14.59,14.76,14.59,14.69,22884800
2007-02-26,14.83,15.73,14.8,15.68,65831500
2007-02-27,15.36,15.44,14.86,15.08,43273800
2007-02-28,15.3,15.3,14.96,15.07,32605500
2007-03-01,14.9,14.98,14.76,14.79,25736300
2007-03-02,14.66,14.74,14.13,14.18,49779200
2007-03-05,13.74,14.0,13.53,13.95,32175300
2007-03-06,14.18,14.35,14.02,14.09,17971300
2007-03-07,14.02,14.22,13.9,14.1,21556900
2007-03-08,14.24,14.27,13.96,14.19,21157000
2007-03-09,14.25,14.33,14.13,14.2,19111200
2007-03-12,14.09,14.27,14.04,14.17,14612100
2007-03-13,14.09,14.12,13.76,13.94,23148300
2007-03-14,13.82,14.17,13.7,14.13,25332800
2007-03-15,14.09,14.23,13.92,13.93,14533000
2007-03-16,14.0,14.16,13.84,14.01,20088500
2007-03-19,13.78,14.01,13.66,13.72,16415900
2007-03-20,13.7,13.74,13.36,13.41,25378000
2007-03-21,13.45,14.05,13.37,13.6,48964200
2007-03-22,13.62,13.76,13.3195,13.35,28363400
2007-03-23,13.35,13.62,13.35,13.5,14155900
2007-03-26,13.55,13.73,13.41,13.55,14069900
2007-03-27,13.54,13.66,13.47,13.5,13302100
2007-03-28,13.45,13.5,13.38,13.38,17688300
2007-03-29,13.45,13.46,12.96,13.08,28354400
2007-03-30,13.08,13.18,12.97,13.06,18148200
2007-04-02,13.0,13.09,12.81,12.83,16599600
2007-04-03,12.86,13.0,12.71,12.9,18179500
2007-04-04,12.77,12.87,12.67,12.71,15527600
