date,open,high,low,close,volume
2006-10-09,1.6206,1.67,1.6187,1.665,105784000
2006-10-10,1.6595,1.675,1.6206,1.6271,126668000
2006-10-11,1.6266,1.6535,1.6096,1.6415,134570000
2006-10-12,1.651,1.6815,1.6276,1.6735,119794000
2006-10-13,1.6635,1.675,1.65,1.662,81346000
2006-10-16,1.6386,1.656,1.6236,1.6261,135388000
2006-10-17,1.6061,1.6266,1.5837,1.6196,132714000
2006-10-18,1.6246,1.6351,1.5962,1.6116,106986000
2006-10-19,1.6046,1.6381,1.6011,1.6231,80752000
2006-10-20,1.6306,1.6306,1.6066,1.6246,116788000
2006-10-23,1.6196,1.6415,1.6031,1.64,161186000
2006-10-24,1.6396,1.8954,1.6391,1.6775,463106000
2006-10-25,1.8605,1.8944,1.7977,1.8795,930450000
2006-10-26,1.858,1.9199,1.8545,1.9104,341466000
2006-10-27,1.9029,1.9144,1.8787,1.9074,199068000
2006-10-30,1.8979,1.9124,1.8795,1.9029,137648000
2006-10-31,1.9064,1.9249,1.8855,1.8999,124208000
2006-11-01,1.9017,1.9054,1.8685,1.8735,133378000
2006-11-02,1.862,1.884,1.851,1.868,108946000
2006-11-03,1.876,1.881,1.8391,1.8685,102482000
2006-11-06,1.8775,1.9129,1.872,1.9059,90818000
2006-11-07,1.9054,1.9453,1.8974,1.9338,154902000
2006-11-08,1.9244,1.9693,1.9184,1.9688,163198000
2006-11-09,1.9703,1.9837,1.9358,1.9373,116142000
2006-11-10,1.9348,1.9634,1.9333,1.9583,89902000
2006-11-13,1.9568,1.9952,1.9518,1.9947,138886000
2006-11-14,2.0007,2.0785,1.9762,2.0705,219026000
2006-11-15,2.07,2.1498,2.07,2.1249,271134000
2006-11-16,2.1172,2.1423,2.1149,2.1369,220016000
2006-11-17,2.1224,2.1284,2.1059,2.1224,130604000
2006-11-20,2.1124,2.1224,2.092,2.1169,115928000
2006-11-21,2.1224,2.1573,2.1009,2.1219,139688000
2006-11-22,2.1199,2.1438,2.1039,2.1428,90712000
2006-11-24,2.1229,2.1418,2.1104,2.1154,44826000
2006-11-27,2.1039,2.1349,2.0311,2.0376,179456000
2006-11-28,2.0326,2.0486,2.0102,2.0411,141986000
2006-11-29,2.0191,2.0501,1.9952,2.0266,157092000
2006-11-30,2.0161,2.0271,1.9877,2.0122,126926000
2006-12-01,2.0082,2.0221,1.9498,1.9658,166122000
2006-12-04,1.9608,1.9693,1.9388,1.9503,194414000
2006-12-05,1.9518,1.9603,1.9313,1.9443,114754000
2006-12-06,1.9338,1.9742,1.9274,1.9403,115538000
2006-12-07,1.9418,1.9498,1.8979,1.9014,132430000
2006-12-08,1.8914,1.9428,1.8805,1.9184,102794000
2006-12-11,1.9064,1.9528,1.8994,1.9299,96972000
2006-12-12,1.9174,1.9423,1.9029,1.9184,101664000
2006-12-13,1.9259,1.9548,1.9049,1.9204,93556000
2006-12-14,1.9323,1.9722,1.9254,1.9463,125922000
2006-12-15,1.9643,2.0047,1.9568,1.9957,163070000
2006-12-18,2.0052,2.0271,1.9383,1.9583,129734000
2006-12-19,1.9343,1.9812,1.9069,1.9663,150400000
2006-12-20,1.9668,2.0102,1.9648,1.9957,155686000
2006-12-21,1.9887,2.0122,1.9777,1.9897,131004000
2006-12-22,1.9942,2.0206,1.9907,2.0072,111702000
2006-12-26,2.0017,2.0017,1.9663,1.9852,89472000
2006-12-27,1.9882,2.0186,1.9852,2.0097,70730000
2006-12-28,2.0141,2.0266,1.9912,2.0057,90910000
2006-12-29,1.9982,2.0077,1.9628,1.9683,83940000
2007-01-03,1.9294,1.9483,1.8979,1.9304,248102000
2007-01-04,1.9249,1.9523,1.9084,1.9403,126368000
2007-01-05,1.9313,1.9348,1.8755,1.9139,132394000
2007-01-08,1.9064,1.9109,1.854,1.8705,135660000
2007-01-09,1.8755,1.8984,1.8625,1.8845,114060000
2007-01-10,1.87,1.8805,1.849,1.853,130550000
2007-01-11,1.854,1.8954,1.854,1.8655,129312000
2007-01-12,1.8635,1.9059,1.859,1.9054,89328000
2007-01-16,1.9154,1.9398,1.8939,1.9284,112874000
2007-01-17,1.9304,1.9453,1.8845,1.8894,100536000
2007-01-18,1.8705,1.878,1.8316,1.8446,182100000
2007-01-19,1.8301,1.8695,1.8256,1.8466,121918000
2007-01-22,1.878,1.8904,1.8356,1.8431,166340000
2007-01-23,1.8406,1.849,1.8106,1.8171,106272000
2007-01-24,1.8211,1.8635,1.8206,1.8585,105434000
2007-01-25,1.8994,1.9069,1.8346,1.8495,134952000
2007-01-26,1.8585,1.8585,1.8106,1.8381,82786000
2007-01-29,1.8306,1.868,1.8226,1.867,147900000
2007-01-30,1.86,1.8665,1.8271,1.848,96270000
2007-01-31,1.8431,1.9049,1.8336,1.879,145550000
2007-02-01,1.8929,1.9603,1.888,1.9304,522462000
2007-02-02,1.857,1.8825,1.8296,1.865,517014000
2007-02-05,1.858,1.8665,1.8341,1.8535,122218000
2007-02-06,1.8555,1.9159,1.8498,1.9089,172254000
2007-02-07,1.9199,1.9713,1.9154,1.9443,210064000
2007-02-08,1.9428,1.9708,1.9289,1.9503,109672000
2007-02-09,1.9548,1.9608,1.9284,1.9313,119202000
2007-02-12,1.9348,1.9448,1.9134,1.9378,76714000
2007-02-13,1.9378,1.9757,1.9378,1.9608,90110000
2007-02-14,1.9568,2.0092,1.9523,2.0022,136282000
2007-02-15,2.0022,2.0112,1.9882,1.9982,101764000
2007-02-16,1.9902,2.0171,1.9887,2.0117,93580000
2007-02-20,2.0017,2.082,1.9952,2.0705,178068000
2007-02-21,2.0546,2.061,2.0411,2.058,90168000
2007-02-22,2.065,2.095,2.0396,2.0451,98522000
2007-02-23,2.0451,2.0551,2.0321,2.0341,109948000
2007-02-26,2.0381,2.0551,2.0151,2.0391,80704000
2007-02-27,2.0047,2.0221,1.9343,1.9368,177014000
2007-02-28,1.9408,1.9742,1.8994,1.9523,153748000
2007-03-01,1.9613,1.9613,1.8979,1.9378,185116000
2007-03-02,1.9114,1.9388,1.88,1.88,155756000
2007-03-05,1.853,1.9114,1.8476,1.848,191312000
2007-03-06,1.88,1.9284,1.866,1.9244,256964000
2007-03-07,1.9294,1.9613,1.9094,1.9134,172892000
2007-03-08,1.9338,1.9563,1.8944,1.9004,152586000
2007-03-09,1.9194,1.9398,1.8954,1.9373,124002000
2007-03-12,1.9274,1.9478,1.9144,1.9358,97580000
2007-03-13,1.9104,1.9393,1.88,1.8865,104082000
2007-03-14,1.8835,1.9064,1.8585,1.8994,171822000
2007-03-15,1.9004,1.9099,1.873,1.8845,145314000
2007-03-16,1.8815,1.8994,1.8715,1.888,137310000
2007-03-19,1.8954,1.9224,1.8954,1.9179,84532000
2007-03-20,1.9219,1.9299,1.9069,1.9244,76026000
2007-03-21,1.9229,1.9852,1.9109,1.9852,99928000
2007-03-22,1.9693,1.9812,1.9408,1.9698,106630000
2007-03-23,1.9732,1.9752,1.9443,1.9443,58830000
2007-03-26,1.9443,1.9478,1.9169,1.9458,70422000
2007-03-27,1.9363,1.9663,1.9333,1.9638,79872000
2007-03-28,1.9498,1.9708,1.9323,1.9623,124044000
2007-03-29,1.9777,1.9912,1.9603,1.9857,128104000
2007-03-30,1.9827,2.0072,1.9663,1.9847,119938000
2007-04-02,1.9877,2.0186,1.9727,2.0161,141826000
2007-04-03,2.0161,2.064,2.0151,2.0546,119364000
2007-04-04,2.056,2.0725,2.0411,2.0715,81294000
2007-04-05,2.0735,2.083,2.067,2.079,65768000
2007-04-09,2.081,2.1019,2.0755,2.078,83654000
2007-04-10,2.0735,2.093,2.068,2.088,68436000
2007-04-11,2.0815,2.0885,2.057,2.079,101568000
2007-04-12,2.0815,2.1134,2.065,2.1084,95090000
2007-04-13,2.1044,2.1199,2.0915,2.1154,72200000
2007-04-16,2.1832,2.2596,2.1783,2.2546,268880000
2007-04-17,2.2586,2.2606,2.2321,2.2481,147978000
2007-04-18,2.2346,2.2521,2.2261,2.2441,99928000
2007-04-19,2.2251,2.2521,2.2152,2.2266,96194000
2007-04-20,2.2491,2.2531,2.2207,2.2421,119610000
2007-04-23,2.2082,2.2351,2.2027,2.2331,141772000
2007-04-24,2.2321,2.2446,2.2162,2.2321,397752000
2007-04-25,2.6496,2.8521,2.6411,2.8337,2086584000
2007-04-26,2.8182,3.1444,2.7968,3.1315,1243590000
2007-04-27,3.0546,3.1843,3.0237,3.1225,1014668000
2007-04-30,3.0881,3.1145,3.0517,3.0591,479584000
2007-05-01,3.0487,3.0945,3.0068,3.0519,370380000
2007-05-02,3.0766,3.105,3.0377,3.0517,288544000
